hhid,intervention_level,predicted_intervention_level,risk_score,yield,land_size,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,transport_cost,received_credit,zone
29064,1,0,0.0,0.22722266045327452,20000.0,5,0,26.0,1,2.0,13.0,0.0,0.0,1
29065,1,1,0.5,0.08486470386598194,20000.0,3,0,34.0,0,2.0,7.0,0.0,0.0,1
29066,1,0,0.0,0.13426423200859292,10000.0,3,0,34.0,0,2.0,9.0,0.0,0.0,1
29068,1,1,0.5,0.0534147272033575,20000.0,6,0,26.0,0,2.0,4.0,0.0,0.0,1
29070,2,2,1.0,0.015789972314915208,10000.0,3,0,34.0,0,2.0,7.0,0.0,0.0,1
29071,2,2,1.0,0.04610727861466986,20000.0,9,0,26.0,0,2.0,15.0,0.0,0.0,1
29072,1,1,0.5,0.3042465801514212,4046.86,4,0,25.0,0,2.0,3.0,0.0,0.0,1
29073,0,0,0.0,0.2662622363245787,9046.86,12,1,14.0,0,2.0,14.0,500.0,0.0,1
29074,0,0,0.0,0.5614292964731554,8093.72,9,1,26.0,0,2.0,18.0,5000.0,0.0,1
29076,1,0,0.0,1.1612422918504288,0.0,7,0,52.0,0,2.0,8.0,0.0,0.0,1
29077,1,0,0.0,0.18178127057476248,0.0,6,1,26.0,0,2.0,17.0,1000.0,0.0,1
29078,1,1,0.5,0.05582031792550043,8093.72,7,0,51.0,0,2.0,7.0,0.0,0.0,1
29080,0,0,0.0,0.09162803381510772,10000.0,14,1,0.0,0,0.0,7.0,1500.0,0.0,1
29082,0,0,0.0,0.2021424706571066,12140.58,11,1,0.0,0,2.0,19.0,500.0,0.0,1
29083,0,0,0.0,0.22617270547790294,10000.0,9,0,26.0,0,2.0,6.0,1000.0,0.0,1
29085,0,1,0.5,0.25066863199508344,0.0,4,0,41.0,0,1.0,7.0,0.0,0.0,1
29087,1,1,0.5,0.6343299361441198,10000.0,9,0,51.0,0,2.0,10.0,0.0,0.0,1
